Date,Name,Brand,Meal,Quantity,Unit,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Zinc (mg),Vitamin A (µg),Vitamin C (mg),Vitamin D (µg),B1 Thiamine (mg),B2 Riboflavin (mg),B3 Niacin (mg),B6 (mg),B9 Folate (µg),Notes
2026-05-30,"Pumpkin, green, cylindrical",IFCT 2017,Breakfast,100,g,24.6,0.87,4.22,0.18,2.53,5.21,186,24.1,0.29,13.27,24.51,0.14,426.91,7.29,1.07,0.03,0.02,0.44,0.05,31.6,IFCT2017:D065 | Group: Other Vegetables
2026-05-30,"Pumpkin, orange, round",IFCT 2017,Breakfast,100,g,23.2,0.84,4,0.16,2.56,8.81,253,23.06,0.36,10.43,22.18,0.11,239.74,8.04,1.4,0.03,0.03,0.41,0.08,24.14,IFCT2017:D066 | Group: Other Vegetables
2026-05-30,"Red gram, tender, fresh",IFCT 2017,Breakfast,100,g,124.3,8.09,19.46,0.92,5.9,2.54,616,58.58,1.18,56.95,141,1.1,165,15.13,28.96,0.23,0.09,2.14,0.3,94.21,IFCT2017:D067 | Group: Other Vegetables
2026-05-30,Ridge gourd,IFCT 2017,Breakfast,100,g,13.1,0.91,1.72,0.14,1.81,4.71,118,13.7,0.42,16.15,33.06,0.22,348,5.42,0.37,0.02,0.01,0.2,0.07,29.26,IFCT2017:D068 | Group: Other Vegetables
2026-05-30,"Ridge gourd, smooth skin",IFCT 2017,Breakfast,100,g,15.3,0.98,2.24,0.13,1.85,6.27,125,14.96,0.5,17.66,39.25,0.26,349,8.1,0.34,0.02,0.01,0.21,0.09,27.36,IFCT2017:D069 | Group: Other Vegetables
2026-05-30,"Snake gourd, long, pale green",IFCT 2017,Breakfast,100,g,12.4,0.98,1.27,0.25,2.27,7.07,100,24.6,0.32,18.7,23.27,0.14,61.29,2.72,2.67,0.03,0.03,0.34,0.1,18.34,IFCT2017:D070 | Group: Other Vegetables
2026-05-30,"Snake gourd, long, dark green",IFCT 2017,Breakfast,100,g,12.0,0.89,1.23,0.25,2.27,5.04,104,27.11,0.47,21.7,31.03,0.2,61.64,2.85,3.08,0.03,0.03,0.33,0.07,16.52,IFCT2017:D071 | Group: Other Vegetables
2026-05-30,"Snake gourd, short",IFCT 2017,Breakfast,100,g,14.6,0.54,2.15,0.26,2.29,2.5,84,17.9,0.2,15.07,21.33,0.11,62.84,2.3,3.12,0.03,0.02,0.33,0.06,17.74,IFCT2017:D072 | Group: Other Vegetables
2026-05-30,"Tinda, tender",IFCT 2017,Breakfast,100,g,13.9,1.02,1.9,0.17,2,20.61,56.18,19.68,0.41,18.96,30.37,0.2,7.96,14.2,2.76,0.02,0.03,0.56,0.06,43.23,IFCT2017:D073 | Group: Other Vegetables
2026-05-30,"Tomato, green",IFCT 2017,Breakfast,100,g,20.8,1.12,3.18,0.27,1.62,13.11,225,8.49,0.42,13.57,22.5,0.16,38.13,16.41,1.1,0.08,0.05,0.46,0.07,12.51,IFCT2017:D074 | Group: Other Vegetables
2026-05-30,"Tomato, ripe, hybrid",IFCT 2017,Breakfast,100,g,18.9,0.76,3.2,0.25,1.58,11.86,167,8.9,0.22,11.86,15.45,0.11,1520.32,25.27,11.83,0.04,0.02,0.51,0.08,15.41,IFCT2017:D075 | Group: Other Vegetables
2026-05-30,"Tomato, ripe, local",IFCT 2017,Breakfast,100,g,19.6,0.9,2.71,0.47,1.77,9.73,204,10.17,0.3,13.65,18.77,0.12,914.37,27.47,12.24,0.03,0.03,0.52,0.09,19.46,IFCT2017:D076 | Group: Other Vegetables
2026-05-30,"Zucchini, green",IFCT 2017,Breakfast,100,g,20.1,1.1,2.33,0.51,2.3,0.4,178,17.26,0.52,15.41,21.38,0.29,85.79,15.78,0.4,0.05,0.09,1.03,0.25,18.85,IFCT2017:D077 | Group: Other Vegetables
2026-05-30,"Zucchini, yellow",IFCT 2017,Breakfast,100,g,18.9,1.31,2.2,0.44,1.84,0.39,131,20.98,0.34,10.82,32.03,0.27,69.9,16.71,0.38,0.03,0.02,0.42,0.2,21.5,IFCT2017:D078 | Group: Other Vegetables
2026-05-30,"Apple, big",IFCT 2017,Breakfast,100,g,62.4,0.29,13.11,0.64,2.59,1.43,116,13.68,0.26,8.09,10.44,0.09,2.41,3.57,1.46,0.03,0.01,0.25,0.04,3.04,IFCT2017:E001 | Group: Fruits
2026-05-30,"Apple, green",IFCT 2017,Breakfast,100,g,51.1,0.46,10.65,0.5,2.54,1.47,94.55,6.53,0.2,5.42,7.48,0.08,2.2,2.9,2.45,0.01,0.02,0.21,0.08,3.43,IFCT2017:E002 | Group: Fruits
2026-05-30,"Apple, small",IFCT 2017,Breakfast,100,g,63.8,0.31,13.95,0.53,2.06,1.45,100,5.39,0.25,5.48,8.39,0.05,2.08,4,1.86,0.01,0.01,0.09,0.03,3.52,IFCT2017:E003 | Group: Fruits
2026-05-30,"Apple, small, Kashmir",IFCT 2017,Breakfast,100,g,64.3,0.27,13.99,0.6,2.07,1.22,106,4.72,0.21,5.19,10.72,0.08,2.11,4.24,2.04,0.01,0.01,0.09,0.04,3.97,IFCT2017:E004 | Group: Fruits
2026-05-30,"Apricot, dried",IFCT 2017,Breakfast,100,g,315.7,3.17,72.63,0.74,3.32,3.94,285,28.57,2.5,14.04,72.02,0.41,1806,0.42,3.98,0.04,0.04,1.66,0.1,10.5,IFCT2017:E005 | Group: Fruits
2026-05-30,"Apricot, processed",IFCT 2017,Breakfast,100,g,56.4,1.47,10.93,0.64,0.59,1.6,95,5.42,1.12,4.29,27.33,0.26,1372,7.98,4.31,0.25,0.04,1.07,0.17,5.42,IFCT2017:E006 | Group: Fruits
2026-05-30,Avocado fruit,IFCT 2017,Breakfast,100,g,144.4,2.95,1.75,13.86,6.69,2.81,377,28.48,0.81,48.14,63.14,0.75,12,9.36,2.1,0.07,0.08,0.9,0.18,67.17,IFCT2017:E007 | Group: Fruits
2026-05-30,Bael fruit,IFCT 2017,Breakfast,100,g,136.0,2.63,28.21,0.57,6.31,1.56,409,47.95,0.23,34.1,37.29,0.14,2.5,7.5,1.6,0.03,0.04,0.25,0.03,55.22,IFCT2017:E008 | Group: Fruits
2026-05-30,"Banana, ripe, montham",IFCT 2017,Breakfast,100,g,110.7,1.25,24.95,0.32,2.21,1.25,362,6.77,0.4,30.22,20.85,0.15,56.63,8.06,0.2,0.01,0.04,0.48,0.51,17.93,IFCT2017:E009 | Group: Fruits
2026-05-30,"Banana, ripe, poovam",IFCT 2017,Breakfast,100,g,106.4,1.49,23.41,0.35,2.33,1,335,8.73,0.35,43.79,33.63,0.17,59.04,6.74,0.24,0.01,0.03,0.43,0.5,19.95,IFCT2017:E010 | Group: Fruits
2026-05-30,"Banana, ripe, red",IFCT 2017,Breakfast,100,g,111.6,1.29,25.21,0.29,1.98,1.11,313,9.56,0.24,31.44,23.27,0.09,53.64,6.74,0.21,0.01,0.02,0.46,0.45,18.92,IFCT2017:E011 | Group: Fruits
2026-05-30,"Banana, ripe, robusta",IFCT 2017,Breakfast,100,g,105.2,1.23,23.63,0.33,1.94,0.85,306,5.07,0.28,34.98,24.32,0.14,60.35,4.76,0.22,0.01,0.03,0.47,0.44,16.81,IFCT2017:E012 | Group: Fruits
2026-05-30,Black berry,IFCT 2017,Breakfast,100,g,54.3,0.92,10.64,0.63,4.35,1.21,205,23.81,0.63,30.9,20.08,0.11,52.32,19.45,14.65,0.01,0.02,0.4,0.05,22.95,IFCT2017:E013 | Group: Fruits
2026-05-30,"Cherries, red",IFCT 2017,Breakfast,100,g,59.8,1.49,11.87,0.46,2.12,1.64,165,23.88,0.36,14.37,25.31,0.12,40.78,8.82,4.3,0.07,0.02,0.19,0.04,4.92,IFCT2017:E014 | Group: Fruits
2026-05-30,"Currants, black",IFCT 2017,Breakfast,100,g,54.3,1.51,9.93,0.53,4.07,1.45,283,40.32,1.36,16.66,78.8,0.21,62.48,182,3.01,0.03,0.03,0.35,0.09,8.48,IFCT2017:E015 | Group: Fruits
